address,address_short,first_seen_hop,incoming_cell_all_dataset,outgoing_cell_all_dataset,net_cell_all_dataset,total_volume_cell,incoming_edges,outgoing_edges,suggested_review,classification_hint,manual_label,manual_class,notes
0x68c6bce79106840a9865a26d7cce4b42694a636d,0x68c6bce7...694a636d,2,268002.49206343,268002.492,6.343e-05,536004.98406343,4,2,large balanced pass-through wallet,balanced pass-through,,,
0x006200fb630000bb009b0083ae13fada00852a89,0x006200fb...00852a89,1,266606.27555686,266606.2752686,0.00028826,533212.55082546,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xfcdc45d14317dbe6a9916edb148778ce98b38981,0xfcdc45d1...98b38981,1,265709.53652796,265709.53652796,0.0,531419.07305592,4,1,large balanced pass-through wallet,balanced pass-through,,,
0x1f11f8dfb6c0b609a10966fb1848a81583585775,0x1f11f8df...83585775,2,270093.6423364,255087.90262633,15005.73971007,525181.54496273,6,7,large unclassified downstream wallet,balanced pass-through,,,
0xc9a96dd7c7b93d66f93c7c3aac30a373bc825daf,0xc9a96dd7...bc825daf,2,258819.17093486,258819.17093486,0.0,517638.34186972,5,7,large balanced pass-through wallet,balanced pass-through,,,
0x8aa5e26309e81037ad8a6b6f7b286accb8de2813,0x8aa5e263...b8de2813,3,254575.44106271,254575.44106271,0.0,509150.88212542,5,4,large balanced pass-through wallet,balanced pass-through,,,
0x280cd82d9cc30afbd76c02fba993b18d723413ba,0x280cd82d...723413ba,1,251388.02391743,251388.02391743,0.0,502776.04783486,2,3,large balanced pass-through wallet,balanced pass-through,,,
0x234bab53458a703807d911eb6e852ad14e99426c,0x234bab53...4e99426c,2,251175.42537226,251175.42537226,0.0,502350.85074452,3,2,large balanced pass-through wallet,balanced pass-through,,,
0xb12090ea324b55558c1ac112c2a3aab30cd53f12,0xb12090ea...0cd53f12,2,501370.19546013,0,501370.19546013,501370.19546013,1,0,large unclassified downstream wallet,manual review,,,
0xdd11ef5a5ac03c24b5079c05a8904cdbb2ecf59d,0xdd11ef5a...b2ecf59d,2,255000.00000286,245000.00000086,10000.000002,500000.00000372,6,4,large unclassified downstream wallet,balanced pass-through,,,
0x429cf888dae41d589d57f6dc685707bec755fe63,0x429cf888...c755fe63,1,248152.7805596,248147.32911667,5.45144294,496300.10967627005,3,3,large balanced pass-through wallet,balanced pass-through,,,
0xf5aae5276b1ed63544edb779dcd7e449a7d8017b,0xf5aae527...a7d8017b,4,247176.47431673,247043.38631272,133.08800401,494219.86062944995,2,3,large balanced pass-through wallet,balanced pass-through,,,
0xf93b4309cae0b8a1cd013f1ee3a81024c978bece,0xf93b4309...c978bece,2,231531.29119393,261929.44256411,-30398.15137019,493460.73375804,9,7,large unclassified downstream wallet,manual review,,,
0xd1c6e29c16f33513d74516695c1ed60970a301e3,0xd1c6e29c...70a301e3,2,246363.39122602,246363.39122602,0.0,492726.78245204,3,1,large balanced pass-through wallet,balanced pass-through,,,
0xff022bb6af7eeceb394b9ac5d76312db5488f85f,0xff022bb6...5488f85f,3,246363.39122602,246363.39122602,-0.0,492726.78245204,1,5,large balanced pass-through wallet,balanced pass-through,,,
0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,0x53222470...69e63f20,2,245993.65209996,245993.65209996,-0.0,491987.30419992,14,5,large balanced pass-through wallet,balanced pass-through,,,
0x6b4b968dcecfd3d197ce04dc8925f91930815366,0x6b4b968d...30815366,1,244842.17145564,244842.17145564,0.0,489684.34291128,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x00000000003b3cc22af3ae1eac0440bcee416b40,0x00000000...ee416b40,1,243495.55844293,243495.55296988,0.00547305,486991.11141281,3,3,large balanced pass-through wallet,balanced pass-through,,,
0x00000000500e2fece27a7600435d0c48d64e0c00,0x00000000...d64e0c00,1,238551.6263405,238550.82413682,0.80220368,477102.45047732,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x018b7eb75e80d7f1da04f47c9297ceb8d75ba167,0x018b7eb7...d75ba167,1,234616.64181513,234616.64181513,0.0,469233.28363026,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x32ff66ba0b19b378e80c251e1f7d811f0690518d,0x32ff66ba...0690518d,1,233182.64942328,233182.64942328,-0.0,466365.29884656,4,3,large balanced pass-through wallet,balanced pass-through,,,
