recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x7eb05d908968763f1c0d373a0d2455e563af9f58,38010450,107.977921650749680635,1,0.002159515242710139409911801764
0xa2726519bf977f6f6916d0422725eb42cf75a796,36510090,107.686883210251753159,1,0.002153694590313228798604027919
0x534e7a75eb6a8cb068f584a667ac0ae131d1c8d6,33580659,107.247641411883612989,1,0.002144909930039071478350432991
0xf6b990ea0afd6e01ecf0227585b98c0992858ac1,36330904,106.718712097428883566,1,0.002134331555317471321893562129
0xa3c3cf37cd4a7bad5c89dfe794be7fedb50c8bb2,37108731,106.3162716052899652,1,0.002126282906447670350592988140
0x577d244c93366bbd3c6900ef331fdb822ff6146e,35991390,106.1593,1,0.002123143537129257414851702966
0x21f3330154e9625e9ae42778f2652a47f8a3d9d9,34166448,105.751031282080090622,1,0.002114978326075080310833783324
0xa8705b372330274bf06eb8e002409019b7b3987a,22852456,105.7298,1,0.002114553708925821483570328593
0xd91819b7f809ea5782f22628f103239db510f275,24917201,105.726522,1,0.002114488150236995260094798104
0x070ebd2b587ebb51020c019cfe33c8c1e6764af5,23221783,105.6866545,2,0.002113690816183676326473470531
0x816592a67b73add881d4ca682935e19feae6ccc8,29695514,105.399388343806499789,1,0.002107945607963970716365672687
0xe10885a19f7c86f99d7cfc04f17339f78efa4a46,35761163,104.5,1,0.002089958200835983280334393312
0x5c26982cec7696a700d70f99f11b42c29c1d89cf,33435692,104.187614678874645213,1,0.002083710619365105602147957041
0x11d1f56a2825e76be8fe3dd3596d6930f789fab1,36505806,104.106358011919172702,2,0.002082085518528012893782124358
0x843cf9a692591e601186ce01aa4ddea00c5b69e6,36847642,103.480146375090757612,4,0.002069561536271089730445391092
0x4b14894682b50397438e5f271fd8bbf1c5a1a4d6,36938123,103.390320252102881998,2,0.002067765049741062818703625927
0xa0ea3eacd7c0b7b0e2127e78622d593151d8782b,34090362,103.153464228891638953,1,0.002063028024017352432011359773
0xc7c18065e48bf6618e47c1a3c0ac1517f662f329,25589409,103,1,0.002059958800823983520329593408
0xd710dd0d25446b42703c37bd4bdc5a6771b780fc,37305268,102.4685,1,0.002049329013419731605367892642
0x6872fc35bb615e8692224a6c9fda3738c5bb61fe,36360581,102.25,1,0.002044959100817983640327193456
0x28819e9e285f38a0dd2c2bbdeee13e1e2f6c5b3f,36857614,101.843497272355477801,1,0.002036829208862932297374052519
0xa8d20af9a87ce2b1ee3695dffbdb5c084bd62de5,23934610,101.74354366517072,1,0.002034830176699880402391952161
0xb55d2b3be48a3a6c6ee4bcf5f04fe777110db229,35495869,101.160517129313311261,1,0.002023169879188682451570968581
0x9f88f8d254cdad63220f667f43be7c7e33d973d3,27324263,101,1,0.002019959600807983840323193536
0x21f685913b95feaa52ae25e094b14e5befea28af,36913952,100.922808293049822632,2,0.002018415797545045551728965421
0x487fa0584c458acedcbe57c8bc078f1d90849018,23809299,100.902490965,1,0.002018009459110817783644327113
0x67243f0e9dc8e641f2978115b8ca19217e89fa54,23497647,100.59,1,0.002011759764804703905921881562
0x2a922f81e1e2aa37c7e1aa404894aeae843ad0b6,28636201,100.421036160578228971,1,0.002008380555600452570368592628
0x1a3a262bb72acb0819321f12de0a2db54ca88b67,36919724,100.334839146483531516,3,0.002006656649796674696826063479
0xf1de7ed4a1a9c0dae1365279ffbf18a7a0c2e36e,36027824,100.167898238101131904,1,0.002003317898404054556988860223
0x98216747d0821977f72edbfb2c42152a7ce43292,35668334,100.16703565,1,0.002003300646987060258794824104
0x0da051507e98d6800cd798ecbaa2ca84dc71caa1,22881096,100.1395439397846,1,0.002002750823779216415671686566
0xc7f86c5b75c5a167a9f7d979bbda0d1f1ede0064,22857769,100.1362595800294,1,0.002002685137897830043399132017
