recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xbf0a0ffbf1aa45ce57fb4c3b5057db1c101a6a35,67213265,310.38,1,0.01475733922566015354183832209
0xba22643107e68f63e2cd199424fda4b9bc2b6e90,66886462,288.39,1,0.01371180185349613918400268608
0x46eeea11e8cf7d51e0cf91e2e24a03dab0945a5b,66842335,284.92,1,0.01354681710218149026077896362
0xf395b5e6f1e295022d0f9a617973eff4e09b4763,66586863,273.47,1,0.01300241496888099165244708403
0x2b2a9220bce9a55c6f06841460fc90d111aa1270,66566073,262.67,1,0.01248891776017833794327814957
0x1f13d49333ce0734c98a4c17ba37ba26d35a281a,66517746,249.3,1,0.01185322723421958978664957051
0xa989ea664cd1c333f1671db5b3e244fb472053ec,66904974,205.97,1,0.009793057414489405970141243637
0x3c321b42e42d0abf7ec3d45f254b31cc2e2d4478,66953692,205.09,1,0.009751216901187708260505256384
0x17c3fc1f7eb50a0bf39ba70df3149e68baf9590c,66696930,199.4,1,0.009480679945861958297063475172
0x19b71f1d609b455a0acefc557f47226e5a20c05c,66480623,169.01,1,0.008035755855818102165429779031
0xeef2c48947f9f6807cdd83455299481b3a76c967,66588789,127.16488,1,0.006046186196759992093335412099
0x2bde2da5fe39d958a47fa712daebccb6a4be4e8c,66987624,120,1,0.005705524541140596768543716252
0xbe3b251b428c3e35712fc2ec712604d060a8b18e,66639436,98.94,1,0.004704204984170422035664294050
0xc3c9a2448ef535cf2d9e99a20d928eb71c13f21c,66634210,98,1,0.004659511708598154027644034939
0x67221573977d431f9686d696b0396c987a7d9489,66811160,93.7,1,0.004455063745873949310104551773
0x7f06c079c65f50af572bb8159e6b7c1537870908,66780985,83.00590642,1,0.003946601967824415128605784257
0x90d33b3532e4e4a9b50b17f8d2de0c6b1d6338de,67212696,62.2,2,0.002957363553824542658361826257
0xc08836da5555adfcb18a92b6bef59196eb8899bb,66649255,60.88,1,0.002894602783871996093907845378
0xb0fa10911918370320956538d89062277f87327b,66553520,59,1,0.002805216232727460077867327157
0xc5c23c589252bfb45e8e693e4ff3a7c15154d487,66785720,55.63,1,0.002644986085197094985284057792
0x16fabb53472c0f5575bda959f83187d095a44267,66574642,45.74,1,0.002174755770931424134943246511
0x80f421a395825e4673add3acf3155ed211e516ea,66667157,29.83,1,0.001418298308851866680047158798
0x75c1b5e99147e4ad8811a2760a2f1a606c353f94,66766924,9,1,0.0004279143405855447576407787189
0x1d01a26291e677ad617b233c02a8bbdaebb9f2ac,66584404,8,1,0.0003803683027427064512362477501
0x954a4a83684369cecf1889b87f8c5d76ade26e14,66928174,4,1,0.0001901841513713532256181238751
